"","J02","J03","J20","J21","J09","J10","J11","J12","J13","J15","J16","J17","J18","A38","A48","atc1","atc2","atc3","atc4"
"2020-04-01",39174,43629,153448,5589,6,227,214,74,14,2203,126,75,6855,19,743,1317639,403249.666666667,4980695.23076923,639759.2
"2020-05-01",49771,51767,184478,7136,8,229,186,49,19,2082,134,82,6627,15,845,1488918,375370.333333333,5813629.84615385,694025.6
"2020-06-01",48985,51810,177624,7302,5,140,138,49,12,1981,111,88,6647,12,769,1662527,400600.666666667,5671292.61538462,702035.2
"2020-07-01",46614,50318,166429,6681,6,131,115,58,16,1914,100,101,6400,22,888,1718551,420730.333333333,5538403.23076923,733885.6
"2020-08-01",40494,45031,142397,5820,6,103,95,48,10,1789,118,93,5444,18,913,1705527,405977.666666667,4895731.38461538,669905
"2020-09-01",45006,47569,151266,5160,6,136,118,57,16,1835,109,74,5517,19,888,1667091,414620,5411915.46153846,701774.6
"2020-10-01",47686,48027,172179,6228,5,153,138,70,8,1831,91,79,5942,16,840,1413533,377207,5348936.84615385,665527.8
"2020-11-01",61516,58331,245297,10127,8,179,155,96,11,2105,100,68,6838,16,808,1308985,384226,6777805.30769231,737154
"2020-12-01",41957,42492,161290,5975,6,142,150,99,11,1849,116,79,5837,14,941,1344934,410339.333333333,5332667.92307692,694136.2
"2021-01-01",29682,32481,104800,3750,3,108,100,72,17,1532,118,80,4837,6,736,1284319,384672.666666667,4264621.84615385,637070.2
"2021-02-01",30171,32348,106776,3802,2,76,98,63,10,1414,138,74,4548,6,614,1160203,355472.666666667,4113633.07692308,674957.6
"2021-03-01",53547,50554,201049,8080,2,84,81,102,14,1753,158,99,6051,7,757,1352161,388852.666666667,6227428.07692308,1054576.4
"2021-04-01",63720,57513,251852,11157,3,83,95,134,4,2124,162,113,7256,5,691,1340992,380236.666666667,7433604.07692308,1271187.8
"2021-05-01",52469,48063,209183,9821,4,72,64,225,8,1916,148,119,7287,12,713,1358995,356620.333333333,6274754.53846154,1144322.2
"2021-06-01",48346,44635,167470,7871,3,56,58,193,11,1758,195,100,6196,6,954,1493491,367176.666666667,5452556.07692308,983301.4
"2021-07-01",37872,37216,123213,5069,2,59,43,107,9,1498,137,106,5086,5,1091,1645033,376231,4920811.23076923,848107.6
"2021-08-01",34468,34523,96712,3235,4,41,44,129,5,1414,124,102,4511,6,1000,1581733,382284.666666667,4294808.15384615,707389
"2021-09-01",46112,42619,148346,5457,1,35,46,134,9,1471,133,108,5101,6,962,1473888,374866.333333333,5494391.07692308,847331.8
"2021-10-01",58662,52575,213203,8827,5,87,92,279,8,1805,377,120,6403,9,1027,1423646,353164,6414315.46153846,1108059.6
"2021-11-01",85481,76038,350535,14752,4,154,238,561,10,2515,313,128,9838,6,966,1330416,364445.666666667,8603423.84615385,1579564.6
"2021-12-01",64111,57893,258036,12192,9,125,128,583,8,2278,259,139,8179,2,915,1309258,370537.666666667,7031937.76923077,1227680.2
"2022-01-01",54707,49137,230403,11916,6,81,103,840,17,2125,282,119,8882,4,770,1224668,350090,6745317.53846154,1238039.4
"2022-02-01",92276,70931,298775,11320,19,116,212,635,9,2240,272,121,8093,2,605,1100795,305595.333333333,7063913.53846154,1108070
"2022-03-01",161790,100500,492312,13430,20,115,215,565,12,3866,265,141,10277,1,628,1161562,324276.666666667,12067154.6923077,1540808.4
"2022-04-01",100395,61551,382422,13362,9,81,80,447,13,3353,190,135,9358,4,734,1256053,311224.666666667,9829528.30769231,1378003
"2022-05-01",70133,49388,276115,11774,4,54,46,263,11,2154,155,108,7840,5,788,1326503,307742,8055857.76923077,1330286.4
"2022-06-01",63510,48193,253581,13553,7,37,53,314,11,2422,183,92,7958,5,824,1355686,294277.333333333,7015736.92307692,1385887.6
"2022-07-01",87656,62254,312278,15146,11,167,177,424,12,2234,187,95,9120,14,785,1526795,307727.333333333,8357713.46153846,1579013.8
"2022-08-01",91419,60960,305772,13730,8,133,126,601,16,2378,179,121,8501,10,852,1559800,347707.666666667,8384523.84615385,1341105.8
"2022-09-01",83702,58266,317594,15289,13,161,246,1151,16,2494,162,110,10586,7,736,1399297,322526.666666667,8862138.23076923,1585080.4
"2022-10-01",98067,71247,406718,20166,47,667,1010,1676,15,2947,196,113,13678,8,734,1339810,321058.333333333,9993929.61538462,1905109.6
"2022-11-01",111910,79525,449429,21081,153,3534,2972,1550,18,3100,178,129,12800,10,795,1289763,345905.333333333,10493696,1847120.4
"2022-12-01",128704,90816,532117,22070,2823,51135,33587,1202,19,3163,158,111,12876,6,734,1236702,338847.666666667,12174539.2307692,1961841.6
"2023-01-01",94342,69684,423665,17055,1622,30082,20379,1014,24,2835,130,109,10939,6,706,1207564,346907.333333333,9824469,1558024
"2023-02-01",83364,64167,371513,15679,370,6244,4829,1037,21,2749,147,101,10542,3,670,1126105,311773,8953658.61538462,1507936.2
"2023-03-01",114754,91670,504854,21620,357,6287,5410,1402,33,3747,190,144,14344,3,709,1267158,349317,11712552,1948507.6
"2023-04-01",137629,111716,649354,27635,992,17514,14066,2323,61,4905,338,165,21493,7,604,1217377,341228.666666667,14781710.2307692,2617232.2
